article_id,title,link,creator,published_at,created_at
AKR20260522073951001,"정원오, 강북권 집중 공략…""안전불감증 吳, 시장 자격 없어""(종합)",https://www.yna.co.kr/view/AKR20260522073951001,김정진,2026-05-22T18:28:02+09:00,2026-05-22T18:51:27.268347+09:00
AKR20260522057351001,"장동혁 경기·송언석 울산…국힘, 험지·텃밭 동시 공략(종합)",https://www.yna.co.kr/view/AKR20260522057351001,노선웅,2026-05-22T18:23:16+09:00,2026-05-22T18:51:27.269981+09:00
AKR20260522144200008,"李대통령 ""경제 대도약 위해 자본시장 글로벌 경쟁력 플랫폼으로 키울것""",https://www.yna.co.kr/view/AKR20260522144200008,황철환,2026-05-22T18:21:57+09:00,2026-05-22T18:51:27.270061+09:00
AKR20260522064851001,"與, 충북·강원行…'강호축' 등 지역공약 앞세워 부동층 공략(종합)",https://www.yna.co.kr/view/AKR20260522064851001,박재하,2026-05-22T18:15:23+09:00,2026-05-22T18:51:27.270123+09:00
AKR20260522146000504,"외교부 ""아프리카, 잠재적 원유 생산·수출 역량…협력 모색""",https://www.yna.co.kr/view/AKR20260522146000504,김지헌,2026-05-22T18:07:28+09:00,2026-05-22T18:51:27.270539+09:00
AKR20260522145500052,"함양군수 선거 수의계약 특혜 공방…""계약 편중"" vs ""사실무근""",https://www.yna.co.kr/view/AKR20260522145500052,박정헌,2026-05-22T18:02:21+09:00,2026-05-22T18:51:27.270602+09:00
AKR20260522141300063,세종교육감 후보 4인 아침인사·거리유세…'시민 곁으로',https://www.yna.co.kr/view/AKR20260522141300063,양영석,2026-05-22T17:49:24+09:00,2026-05-22T18:51:27.270824+09:00
AKR20260522139000053,'선거 여왕' 박근혜 23일 대구시장선거 등판…추경호 지원,https://www.yna.co.kr/view/AKR20260522139000053,한무선,2026-05-22T17:43:57+09:00,2026-05-22T18:51:27.270891+09:00
AKR20260522141100062,"김진태 강원지사 후보 ""반값 농자재 지원 2배 확대""",https://www.yna.co.kr/view/AKR20260522141100062,이재현,2026-05-22T17:41:08+09:00,2026-05-22T18:51:27.270948+09:00
AKR20260522139100001,"靑, '中지도 보안시설 노출' 논란에 ""보안처리 즉시 요청""",https://www.yna.co.kr/view/AKR20260522139100001,황윤기,2026-05-22T17:38+09:00,2026-05-22T18:51:27.270992+09:00
AKR20260522137900504,[게시판] 통일부 청년기자단 '유니콘' 19기 발대식,https://www.yna.co.kr/view/AKR20260522137900504,전명훈,2026-05-22T17:25:28+09:00,2026-05-22T18:51:27.271029+09:00
AKR20260522137400054,"강은미 전남광주시장 후보, 대리운전노동자 5대 공약 발표",https://www.yna.co.kr/view/AKR20260522137400054,박철홍,2026-05-22T17:22:52+09:00,2026-05-22T18:51:27.271065+09:00
AKR20260522136600704,[쇼츠] 中J-10CE vs 유로파이터 누가 이길까?,https://www.yna.co.kr/view/AKR20260522136600704,김건태,2026-05-22T17:21:48+09:00,2026-05-22T18:51:27.271125+09:00
AKR20260522130800001,"조응천, 'GTX 공사 일시중단' 鄭에 ""경기도민 발길 끊겠단 폭언""",https://www.yna.co.kr/view/AKR20260522130800001,이정현,2026-05-22T17:17:21+09:00,2026-05-22T18:51:27.271165+09:00
AKR20260522054851054,"임문영 광산을 후보 ""AI 생활안전 도시 만들겠다""(종합)",https://www.yna.co.kr/view/AKR20260522054851054,박철홍,2026-05-22T17:17:10+09:00,2026-05-22T18:51:27.271200+09:00
AKR20260522119700062,"속초시장 선거 '대관람차' 공방 격화…""허위사실"" vs ""동문서답""",https://www.yna.co.kr/view/AKR20260522119700062,류호준,2026-05-22T17:16:23+09:00,2026-05-22T18:51:27.271235+09:00
AKR20260522133000054,"박종원 담양군수 후보 ""광주 판다 유치 연계해 관광벨트 조성""",https://www.yna.co.kr/view/AKR20260522133000054,박철홍,2026-05-22T17:11:08+09:00,2026-05-22T18:51:27.271269+09:00
