id,user_no,push_type,article_id,title,category,sent_at,status
1,1,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.399440+09:00,fail
2,2,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.401235+09:00,success
3,3,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.402109+09:00,fail
4,4,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.402704+09:00,fail
5,5,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.403745+09:00,success
6,6,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.404595+09:00,fail
7,8,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.405401+09:00,fail
8,9,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.406033+09:00,fail
9,11,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.406487+09:00,success
10,15,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.407127+09:00,fail
11,17,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.407604+09:00,fail
12,19,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.408172+09:00,fail
13,24,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.408776+09:00,success
14,26,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.409321+09:00,success
15,27,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.409848+09:00,success
16,30,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.410593+09:00,fail
17,34,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.411213+09:00,fail
18,35,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.413523+09:00,success
19,39,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.414074+09:00,fail
20,44,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.414718+09:00,success
21,45,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.415164+09:00,success
22,46,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.415609+09:00,success
23,47,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.416083+09:00,fail
24,51,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.417033+09:00,success
25,52,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.417599+09:00,fail
26,53,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.418190+09:00,fail
27,60,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.418906+09:00,fail
28,61,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.419397+09:00,success
29,62,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.421667+09:00,success
30,65,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.422377+09:00,fail
31,66,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.423037+09:00,fail
32,69,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.423523+09:00,success
33,74,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.424205+09:00,success
34,76,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.424845+09:00,success
35,78,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.425567+09:00,success
36,79,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.426260+09:00,fail
37,80,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.428080+09:00,fail
38,81,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.428513+09:00,fail
39,84,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.429035+09:00,fail
40,87,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.429829+09:00,fail
41,89,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.430389+09:00,success
42,90,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.430891+09:00,fail
43,91,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.431365+09:00,fail
44,92,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.431993+09:00,success
45,93,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.432422+09:00,fail
46,94,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.434298+09:00,success
47,95,FCM,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.435003+09:00,success
48,97,APNS,AKR20260522138500003,"㈜LG, 3천500억원 규모 자사주 전량 소각",INDUSTRY,2026-05-22T18:51:34.435548+09:00,success
49,1,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.435947+09:00,fail
50,2,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.436526+09:00,success
51,3,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.437740+09:00,success
52,4,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.438621+09:00,fail
53,6,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.439346+09:00,success
54,9,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.440044+09:00,fail
55,15,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.440688+09:00,success
56,17,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.441186+09:00,success
57,24,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.441840+09:00,success
58,26,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.443786+09:00,success
59,27,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.444321+09:00,success
60,30,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.444968+09:00,success
61,35,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.445574+09:00,fail
62,39,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.446133+09:00,fail
63,41,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.446645+09:00,success
64,42,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.448498+09:00,success
65,43,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.448959+09:00,fail
66,45,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.449421+09:00,success
67,46,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.449952+09:00,fail
68,47,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.450544+09:00,success
69,51,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.451487+09:00,success
70,52,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.452155+09:00,fail
71,53,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.453023+09:00,success
72,54,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.454728+09:00,fail
73,56,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.455309+09:00,success
74,60,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.455910+09:00,success
75,61,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.456422+09:00,success
76,64,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.456990+09:00,success
77,65,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.457683+09:00,fail
78,66,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.458295+09:00,success
79,69,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.458878+09:00,success
80,74,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.459486+09:00,success
81,76,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.459994+09:00,success
82,78,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.460555+09:00,fail
83,79,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.461132+09:00,fail
84,81,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.461653+09:00,success
85,82,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.462199+09:00,fail
86,84,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.462640+09:00,success
87,87,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.463203+09:00,fail
88,90,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.463921+09:00,fail
89,92,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.465939+09:00,fail
90,93,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.466689+09:00,success
91,94,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.467320+09:00,success
92,97,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.467993+09:00,fail
93,99,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",ECONOMY,2026-05-22T18:51:34.468731+09:00,fail
94,5,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",INDUSTRY,2026-05-22T18:51:34.469391+09:00,fail
95,8,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",INDUSTRY,2026-05-22T18:51:34.470434+09:00,success
96,11,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",INDUSTRY,2026-05-22T18:51:34.471425+09:00,fail
97,19,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",INDUSTRY,2026-05-22T18:51:34.472272+09:00,success
98,34,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",INDUSTRY,2026-05-22T18:51:34.474275+09:00,fail
99,44,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",INDUSTRY,2026-05-22T18:51:34.475561+09:00,fail
100,62,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",INDUSTRY,2026-05-22T18:51:34.476288+09:00,success
101,80,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",INDUSTRY,2026-05-22T18:51:34.476947+09:00,success
102,89,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",INDUSTRY,2026-05-22T18:51:34.477412+09:00,success
