id,user_no,device_id,push_type,article_id,title,category,sent_at,status
1,3,df672b1f45bb96e4db70bef7e2d35335b623e48fa1913b95bb3eb96fbd416b7e,APNS,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.623195714+09:00,success
2,4,Sm9ozPqysbI:APA91b_wjgG-hYFkGEMyI-Av7Wxgs5_9CJK3SXnJZtV3ECyCGvzqdzMBikU-xhsD-MlbDQhetahbggmd9_58IIvt7J__CeNwS_7oyUXdQDsZr_S3yi682suHcPy1UWn3OQOxL_QRXZJI,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.627531505+09:00,fail
3,9,ROeiNxabWre:APA91buMkON_FvHb8DOsyj4Kk3pyNLr_6sO-y0epPPFKCEt8U8w6bf5_5DvM25dHd0bz6ke3Kkqw74C5mUqAI6h-0N-u9vsHy5s-n52TQ0Q6clV_jcogs6-EdUYXOyoPhp8Qef3TBe14,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.630870797+09:00,fail
4,10,8e74a0bc0e50832ede3fe053a589ad18f59abf64c6c45ca232472b751109c709,APNS,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.634435214+09:00,fail
5,12,zexnCve0hh8:APA91bWkGu07ofRzEikLC_XNiGvoGi_IH3SckFX2b2_3WMw-eB2R4-Se3iQ-_Y3JwoV4-Zuejgsgcu0bZUXS_I7wSXHCyx45lPpUFQSz-ahjZyo_2ZwS0w3hubg_QkQ8qQzHt9ByfIup,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.636432547+09:00,success
6,17,K9L75hRnY01:APA91bZ9EDKhj69Gk6H5k013-aSw84vP_lE-QdPMZgITvn7DKFL5O9Ol7uZqXjhO1kZTEirpCi4MqWaRhLQDr5IyXU945ROO438X6PmLIHJbri8k_n5mNMc9hbo5L6DhKjXAz8mXcv1N,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.638412047+09:00,fail
7,19,qFcsMrf6dWS:APA91bz1KnBgizqnC_fcwqzB7Nmuwwerj6xEfHXRRNJ9ou-vfRoyK4MgoTwjlMDq_SVlySPArMWuiyeudxh1PrCs78t25GPBA5f4U0fzj5pSsdDcxo3THtZ6hKiCeSxHKnQgZYZUKXaE,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.640796922+09:00,success
8,21,o77IFm1IekP:APA91bVuVMbDoy2YozJm3n0lUZv0XLQ6HYkYPdARXqC-fREnBGn1WoZhC67Udzm96kX0fyoOZF42kKLCHaeG_J7-Y8TC3qSHAMfqQh7IB2-2vazmFrCBjWBAUmKVuPIN5wAIks3vJGAK,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.644418297+09:00,fail
9,23,DgvDWkHV1zA:APA91bw6f_qCcPrWWCPKglhp4wk7ZFiy-f64Gm1IoykoTPqWPJPDCTwYn11GBfe28mdS1QIOVIT-7s7W5SQ0Ely7iWu7Ml1A3_tvloVw9AIUQ13mxpB7zj7e_mldPZnAsbj6Y66EI1t0,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.646326214+09:00,fail
10,24,5b617614df41a4bb4d273fc232b0d7578c59cd258279ddf43c22841928722428,APNS,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.649491755+09:00,fail
